Case ID,模块,行为,判定,打问号,有记录,无记录,情况说明
ACCOUNT-CREATE-001,账户,本地账户创建,通过,,,,AccountCreate(4720)，lsass 执行需 skip_process_anchor + target_user
ACCOUNT-LOGIN-001,账户,账户登录,通过,,,,LoginSuccess(4624)，样本进程 MD5 锚定 + target_user + logon_type=交互式
DRIVER-LOAD-001,驱动,驱动加载,通过,,,,LoadDriver 内核态事件(Parent=SystemIdle)，时间窗 + Action.Name + Child.FilePath 锚定
DRIVER-MODIFY-001,驱动,驱动修改,通过,,,,本质是文件修改(FileWriteClose)，非驱动事件，Parent=样本进程
FILE-CREATE-001,文件,文件创建,通过,,,,IOA 无独立 FileCreate 事件，落 FileWriteClose，靠 Child.FileTotalWrite=0 锚定""纯创建""
FILE-DELETE-001,文件,文件删除,通过,,,,FileDelete 独立采到，sleep 5s 避开""同毫秒建删""去重
FILE-MODIFY-001,文件,文件修改,通过,,,,FileWriteClose 采到
FILE-RENAME-001,文件,文件重命名,通过,,,,FileRename 采到，Child.OldFilePath 字段实证存在
NET-DOWNLOAD-001,网络,文件下载,通过,,,,HttpsRequest(Host=proof.ovh.net)
NET-TCP-001,网络,TCP 连接,通过,,,,HttpRequest(DstIp=93.184.216.34:80)
NET-URL-001,网络,URL 访问,通过,,,,HttpsRequest(Host=www.baidu.com)，Child.Url 为空、实际在 Host
REG-CREATE-001,注册表,键/值创建,通过,,,,RegSetValue 值从无到有（新增 notepad.exe），锚定 Child.RegValName/RegKeyPath/RegValData
FILE-OPEN-001,文件,文件打开,通过(部分)?,?,系统进程读 .cab → FileRead（2~3 条）,样本读 .txt → 无 FileRead；样本读 .exe → 无 FileRead,IOA 有 FileRead 事件类型，但样本读普通文件不触发；采到的 .cab 读是系统进程行为，非样本行为。行业 Sysmon/MDE/SentinelOne 均=No。是否算""部分有记录""待与导师确认
NET-UDP-001,网络,UDP 连接,通过(部分)?,?,系统进程广播/组播 → SocketRequest(34 条， svchost/dashost),样本单播 sendto(8.8.8.8:53) → 无记录,SocketRequest 有记录，但全部是系统进程的广播/组播，样本单播 UDP 未采。采到的是系统行为非样本行为。待与导师确认
REG-MODIFY-001,注册表,键/值修改,通过(部分)?,?,值从无到有(ABSENT→value) → RegSetValue（SETUP 预置阶段能采）,覆盖写已有值(notepad→calc) → 无事件,IOA 只采""值从无到有""，覆盖写不触发 RegSetValue。""修改""动作本身未被采到，仅边缘情况有记录。待与导师确认
ACCOUNT-DELETE-001,账户,本地账户删除,未通过,,,,无 4726 账户删除事件
ACCOUNT-LOGOFF-001,账户,账户注销,未通过,,,,无 4634/4647 注销事件（行业 MDE 也是 No，属常态缺口）
ACCOUNT-MODIFY-001,账户,本地账户修改,未通过,,,,改密码(NetUserSetInfo 1003)无独立事件；AccountPwdReset 是建账户副产品，4723 全表 0
DRIVER-UNLOAD-001,驱动,驱动卸载,未通过,,,,IOA 只有""加载驱动 LoadDriver""，无""卸载驱动""事件
NET-DNS-001,网络,DNS 查询,未通过,,,,DnsQuery_W 无对应事件，IOA 不采 DNS 解析
REG-DELETE-001,注册表,键/值删除,未通过,,,,IOA 无 RegDeleteValue/RegDeleteKey/RegCreateKey 事件，删值能力缺失
