module,case_id,action,capability,verdict,coverage_status
Registry,REG-CREATE-001,--case REG-CREATE-001,采集通过,IMPLEMENTED,COVERED
Registry,REG-MODIFY-001,--case REG-MODIFY-001,采集通过,IMPLEMENTED,COVERED
Registry,REG-DELETE-001,--case REG-DELETE-001,采集未通过,NOT_IMPLEMENTED,COVERED
Process,PROC-IMAGE-LOAD-001,imageload,采集通过,IMPLEMENTED,COVERED
Process,PROC-CREATE-001,create,采集通过,PARTIALLY_IMPLEMENTED,COVERED
Process,PROC-ACCESS-001,access,待测,ERROR_LOG_INPUT,NOT_COVERED
Process,PROC-REMOTE-THREAD-001,remotethread,待测,ERROR_LOG_INPUT,NOT_COVERED
Process,PROC-TAMPER-001,tamper,待测,ERROR_SAMPLE,NOT_COVERED
Process,PROC-TERMINATE-001,terminate,待测,ERROR_LOG_INPUT,NOT_COVERED
File,FILE-CREATE-001,--case FILE-CREATE-001,采集通过,IMPLEMENTED,COVERED
File,FILE-OPEN-001,--case FILE-OPEN-001,采集通过,IMPLEMENTED,COVERED
File,FILE-DELETE-001,--case FILE-DELETE-001,采集通过,IMPLEMENTED,COVERED
File,FILE-MODIFY-001,--case FILE-MODIFY-001,采集通过,IMPLEMENTED,COVERED
File,FILE-RENAME-001,--case FILE-RENAME-001,采集通过,IMPLEMENTED,COVERED
Account,ACCOUNT-CREATE-001,--case ACCOUNT-CREATE-001,采集未通过,NOT_IMPLEMENTED,COVERED
Account,ACCOUNT-MODIFY-001,--case ACCOUNT-MODIFY-001,采集未通过,NOT_IMPLEMENTED,COVERED
Account,ACCOUNT-DELETE-001,--case ACCOUNT-DELETE-001,采集未通过,NOT_IMPLEMENTED,COVERED
Account,ACCOUNT-LOGIN-001,--case ACCOUNT-LOGIN-001,采集通过,IMPLEMENTED,COVERED
Account,ACCOUNT-LOGOFF-001,--case ACCOUNT-LOGOFF-001,采集未通过,NOT_IMPLEMENTED,COVERED
Network,NET-TCP-001,--case NET-TCP-001,待测,ERROR_SAMPLE,COVERED
Network,NET-UDP-001,--case NET-UDP-001,采集通过,PARTIALLY_IMPLEMENTED,COVERED
Network,NET-URL-001,--case NET-URL-001,采集通过,IMPLEMENTED,COVERED
Network,NET-DNS-001,--case NET-DNS-001,采集未通过,NOT_IMPLEMENTED,COVERED
Network,NET-DOWNLOAD-001,--case NET-DOWNLOAD-001,采集通过,IMPLEMENTED,COVERED
Hash,HASH-MD5-001,--case HASH-MD5-001 --target C:\EDRTest\samples\Hash\Support\TestLibrary.dll,采集通过,IMPLEMENTED,COVERED
Hash,HASH-SHA-001,--case HASH-SHA-001 --target C:\EDRTest\samples\Hash\Support\TestLibrary.dll,采集通过,IMPLEMENTED,COVERED
Hash,HASH-IMPHASH-001,--case HASH-IMPHASH-001 --target C:\EDRTest\samples\Hash\Support\TestLibrary.dll,采集通过,IMPLEMENTED,COVERED
Driver,DRIVER-LOAD-001,--case DRIVER-LOAD-001,采集通过,IMPLEMENTED,COVERED
Driver,DRIVER-MODIFY-001,--case DRIVER-MODIFY-001,采集通过,IMPLEMENTED,COVERED
Driver,DRIVER-UNLOAD-001,--case DRIVER-UNLOAD-001,采集未通过,NOT_IMPLEMENTED,COVERED
ScheduleTask,TASK-CREATE-001,--case TASK-CREATE-001,采集未通过,NOT_IMPLEMENTED,COVERED
ScheduleTask,TASK-MODIFY-001,--case TASK-MODIFY-001,采集未通过,NOT_IMPLEMENTED,COVERED
ScheduleTask,TASK-DELETE-001,--case TASK-DELETE-001,采集未通过,NOT_IMPLEMENTED,COVERED
Service,SVC-CREATE-001,--case SVC-CREATE-001,采集未通过,NOT_IMPLEMENTED,COVERED
Service,SVC-MODIFY-001,--case SVC-MODIFY-001,采集未通过,NOT_IMPLEMENTED,COVERED
Service,SVC-DELETE-001,--case SVC-DELETE-001,采集未通过,NOT_IMPLEMENTED,COVERED
Pipe,PIPE-CREATE-001,--case PIPE-CREATE-001,采集通过,IMPLEMENTED,COVERED
Pipe,PIPE-CONNECT-001,--case PIPE-CONNECT-001,采集通过,IMPLEMENTED,COVERED
WMI,WMI-FILTER-001,--case WMI-FILTER-001,采集未通过,NOT_IMPLEMENTED,COVERED
WMI,WMI-CONSUMER-001,--case WMI-CONSUMER-001,采集未通过,NOT_IMPLEMENTED,COVERED
WMI,WMI-CONSUMER-TO-FILTER-001,--case WMI-CONSUMER-TO-FILTER-001,采集未通过,NOT_IMPLEMENTED,COVERED
Device,DEVICE-VDISK-MOUNT-001,,待测,PENDING,UNKNOWN
GPO,GPO-MODIFY-001,,采集通过,IMPLEMENTED,COVERED
BIT,BIT-JOB-001,,采集未通过,NOT_IMPLEMENTED,COVERED
PowerShell,PS-BLOCK-001,,采集通过,IMPLEMENTED,COVERED
